Date,FAO_CP_23012,FAO_CP_23013,FAO_CP_23014,REF_AREA,REF_AREA_LABEL
2006-08-01,41.143013,37.860962,6.407917,KEN,Kenya
2006-08-01,58.764645,48.180427,6.598681,NAM,Namibia
2006-08-01,59.557629,51.882083,6.526437,ZAF,South Africa
2006-08-01,94.788189,100.713868,1.703258,ZWE,Zimbabwe
2006-09-01,54.992832,50.71325,11.845103,BWA,Botswana
2006-09-01,41.814602,38.09179,7.727316,KEN,Kenya
2006-09-01,59.089283,48.724248,6.592764,NAM,Namibia
2006-09-01,59.709202,52.414034,7.242665,ZAF,South Africa
2006-09-01,94.859223,100.854425,1.700844,ZWE,Zimbabwe
2006-10-01,55.322789,51.023107,11.512415,BWA,Botswana
2006-10-01,42.596757,38.293935,8.431246,KEN,Kenya
2006-10-01,59.282643,49.372256,7.211866,NAM,Namibia
2006-10-01,60.026105,53.044502,8.343396,ZAF,South Africa
2006-10-01,94.930256,100.994983,1.698437,ZWE,Zimbabwe
2006-11-01,55.267796,50.816536,10.067114,BWA,Botswana
2006-11-01,42.711419,38.478819,8.185602,KEN,Kenya
2006-11-01,59.57257,50.14222,8.07122,NAM,Namibia
2006-11-01,60.026105,53.22839,8.023461,ZAF,South Africa
2006-11-01,95.001289,101.13554,1.696036,ZWE,Zimbabwe
2006-12-01,55.322789,50.71325,9.598214,BWA,Botswana
2006-12-01,43.827321,39.554414,9.791994,KEN,Kenya
2006-12-01,59.753292,50.520464,8.444227,NAM,Namibia
2006-12-01,60.260336,53.31376,6.942427,ZAF,South Africa
2006-12-01,95.072323,101.276097,1.693642,ZWE,Zimbabwe
2007-01-01,55.707739,51.229679,8.533917,BWA,Botswana
2007-01-01,45.193022,39.744784,6.168138,KEN,Kenya
2007-01-01,60.259249,50.851016,8.709328,NAM,Namibia
2007-01-01,60.701249,54.187223,7.715413,ZAF,South Africa
2007-01-01,95.143356,101.416655,1.691255,ZWE,Zimbabwe
2007-02-01,56.037696,51.746107,8.441558,BWA,Botswana
2007-02-01,45.780662,38.972484,4.149294,KEN,Kenya
